city,point_id,lon,lat,embedding
beijing,0,116.397774,39.908035,"[0.54270869630841, -2.467107192958221, 0.9077993743892635, -1.4257048173640412, -3.3377065595118443, -2.709070185191182, -4.499246729343447, -0.023946709205287218, -1.1144385881316954, -2.2967505507772565, -1.317229351472895, -0.20674206571565767, -3.1481148842251385, -1.9327437148651134, -1.9692309230599343, -1.060196717558177, 1.4199753765325702, -1.365437938840583, 2.117764752245799, 1.3031103591785709, 2.772156156108741, -1.996626516316291, 0.9238547520753413, 1.1794080178127373, -3.9570448532118707, -4.312576745252682, -0.1293428250175267, 0.5242605086545943, -0.5884052320769646, -0.39606090776717934, 1.626248276565485, -2.7535916971597305, 0.23482145322644893, 4.415180488036282, -0.7688506423349301, 1.971464512731878, -0.6973734430686868, 2.0337428107327855, 1.24498784429553, 1.2823533935878675, -1.9202111889139026, 2.005059013993542, 1.0094127467252083, -2.4239959633687853, -0.7468721144673812, -0.7385137897183425, 3.1859767309144766, -1.2876765582762086, 3.3065820290671644, -1.3293269284990492, 4.627185713712968, 0.7152630660599287, -4.495521541507116, 1.0752720917588159, -5.000665236056261, -1.3061041655455097, -0.7764369249804826, -3.311247069501298, -1.3585495155259673, 1.5061760747517483, 0.9466624483238762, -1.0411087546404323, -1.1908182570015562, -4.697985291259051, -1.8592246449565308, -0.6284741919479353, 1.9821917803918971, -2.5439557790677, -0.6881000270210352, 2.2078214887778036, -2.279390109867357, 0.6858545586547913, -0.7866324809442606, 0.45512139918331374, 2.807758225796285, -5.040316703613348, -1.2610057486374868, -1.0845114379371332, -0.6489288106191154, 3.374146663838208, -4.436955159153053, 0.2420341003477548, 3.456474423559811, -0.29472747913765346, -0.4180152748463259, 1.3070985664743417, -2.632959294870992, 1.3368737058842148, 1.6945849551661771, -3.031570561364731, 1.2940255063980362, 3.6188821051157096, 0.2328134930572025, -1.2973209265797607, -2.026292158193979, -1.1730473442787848, -2.4368077989440797, 2.496812771431081, 3.5627695766855547, -0.7215914421430604, 0.9624237612475245, -1.633686947683494, -0.16026745207693618, 0.2029498088319168, 1.0140560298018986, -3.7183909224974583, -1.7215575879615184, 0.13221619394676354, -1.3979655046910167, -3.2765442351639438, 3.301674287702313, -0.46981730294062973, 1.702691758025164, 3.6601684583011056, -2.4970839363643056, 1.61078485861846, 1.8180967516326068, -0.21227022917880134, -0.027736874110672834, 0.7246922167006987, -4.085034057086922, -3.4129310138302813, -0.818451423749677, 2.308690833265501, -1.1782767541159969, -2.82665596353988, 1.5644589550881765, -2.00690172305167]"
beijing,1,115.651335,39.895897,"[-0.14231035067988343, 0.007390845417769878, -0.027377262668051773, 0.011017347811509419, 0.17213367998308102, 0.18488680041645922, -0.15270484352245658, -0.07753773100685721, -0.1750956406655975, -0.035455278560248174, 0.09093046572082833, -0.08843918407673393, -0.10580238476308344, -0.19894579921240732, 0.17082833491754068, 0.1199509914471238, 0.15598669149635408, -0.011923682825916868, -0.18483873239225113, 0.04797041818570122, -0.16664899564906574, 0.010481138852744038, 0.005125943081171177, 0.005142521870966739, -0.10666997940931122, 0.0020258951680337638, -0.10032661335611259, -0.17223478562339506, 0.057172894182297845, -0.15265218052432877, -0.06032634630176966, 0.033173950940018695, -0.1590702780238737, -0.20001142144525214, 0.024444640952217225, -0.02170545827353139, 0.08533758686723006, -0.03569474691817579, 0.2574026533341149, 0.05803304531207813, -0.009682795123029008, -0.11770918486271759, -0.16148463568037083, 0.1226331690528596, -0.12805971602038252, -0.07332984599918782, -0.015495165204855435, -0.04753616921716954, -0.12335424206800095, -0.09500207412838325, 0.0074785486346173186, -0.07857489245964534, -0.09257387718225585, -0.10499790979139909, -0.02912540066086764, 0.07336374616782222, 0.09415836634605397, -0.19607140336787185, 0.023368975980345756, -0.10243964857576524, 0.15009486711557585, 0.04625592152060556, -0.04327434339877989, 0.20532734586328352, -0.022539185079935756, 0.255236840986211, -0.028485143426647395, -0.1647245381983108, 0.02332166248290754, 0.048107298507870336, -0.05275361598611862, 0.12414006431389149, 0.230569568031717, 0.13366282615776529, 0.11246753943317575, 0.12970913559696007, 0.08329406915992449, -0.1479517499924526, -0.10225069545624937, -0.1450681939781053, 0.15202163837703342, -0.17659315896273484, -0.15062066698146412, 0.07713560181160624, 0.13303791754148056, 0.07547388178855283, 0.12392552319400976, -0.18859775464761108, 0.05076556951895729, 0.13175815403449262, -0.1186932443283713, 0.27150117571013044, -0.07636498308551457, -0.052736421697834934, -0.05068109538434035, 0.17571309658619788, 0.15829779392621202, 0.14640245443021513, 0.005678452217263409, -0.12826345722457494, -0.12324933531187936, -0.0484035479876858, 0.08055665941959778, 0.16780881391352337, -0.21093713620954557, 0.12706829572877087, -0.03782717865604174, -0.03037320102364277, 0.0933392553283715, 0.016502433600868067, 0.05883681473184496, -0.1595434073032073, -0.03065581194107246, -0.13312000288295273, 0.10838060759869979, -0.20633052697924809, 0.1031081682455044, 0.17184605281316656, -0.23961021083704168, -0.16747738947361676, -0.0047536275397025915, 0.052994209049616936, 0.12115190799610763, -0.08732551260442879, 0.18825522793322796, 0.044811476369541914, -0.12722454790775095, -0.009506617322019722]"
beijing,2,117.112699,40.579538,"[-1.6201949533965962, -0.4882780870618175, -1.3045037693549084, -0.4651770108625517, -0.315452803963581, 1.1089329302182582, -0.7831390051409504, 0.8761162133823298, 0.24848936183164122, 0.8357727696526972, 0.30084040156197667, -0.059755977610083166, -0.16389814062960484, 0.35979693144119435, -0.16202934196587584, -0.057865976497942326, -0.9416100583529327, 0.4023555441700951, -1.7215161731817579, 0.5074854500593579, 0.4137644397411603, 0.9131084132430558, 0.09339740962558524, -0.9850317728392163, 0.22410062498922337, -0.776143829320468, -0.1498297042051977, -0.1171889238114698, 1.253215457370753, 0.5285459143191015, 1.2656322786608418, 0.6489931272998498, -1.3346726470956431, 0.7826897013725003, 0.6102409370624156, -0.28648972489018537, -0.5792383586717404, 1.2131952191197766, 0.42959180727950586, -0.5299462604751476, -0.01078585351560113, 0.09124086172737805, -1.408308553000005, -0.6434744192994829, -0.28297905611101143, -0.930361215866309, 1.0700943200728665, 0.097989316309852, -0.634566127359052, 1.1905871282828344, -0.06389968639933791, 0.3095365574150416, -0.8362407486118425, -0.1785149882464779, -0.10499251941180385, -0.8227202859573147, -0.14631923247223855, 0.5287328942620109, -0.07820952155204992, -0.40598151272445326, 0.7135743699322084, -0.42433097268251047, 0.284755056074126, 0.18997623586038398, 0.5105058413474293, 1.0722178883934173, -0.2310787390436314, -0.27694146149695614, 0.07156066249084897, -0.17547872965617065, -1.1113684733018259, -0.5418279056217593, -0.40008758210223866, 0.7082089562115854, -0.4370859609467791, -0.06688094007085954, -0.5479312775284092, 0.6472881078295147, -0.14024600693879768, 0.20251625192771366, -0.6755203288238486, -1.1587325778067366, -0.32005733053443236, 0.4761931963772344, 0.6023066273795444, 1.0754199660958714, 0.6791462498113764, -0.1915408013969828, 0.06919061256093374, -0.6504413829157237, 0.3497548066469959, 0.4461823234959963, 0.21383982657949063, -1.09573175529695, -1.6879938782394543, -0.2974406010183158, -0.20392876670978966, 1.1164881418553456, 1.5764988672494262, 0.6001170650785409, -0.7204348003123604, 0.12204718582306454, -0.08862733781559552, -0.4474265691717845, -1.2747382482591971, 0.5953246542643252, 0.9322350987534503, -0.008254145402267075, 0.8793816506367884, 0.2588112748264593, 0.6407235301172703, -0.8358086868087283, -1.2483572064385664, -0.31597327835875216, -0.36821923686068997, 0.09034218492272086, -1.0196883606622427, -0.474293820164179, 0.16968365622299397, 0.14826014166125592, -1.5451180348447489, 0.4103253948554879, 0.19377244385867767, -0.12388634893252845, -0.4657306296716993, -1.1284647586773728, -0.13924152948684215, -0.24289884605739287]"
beijing,3,116.742987,40.501243,"[0.012289851463467743, -0.015152917095386825, 0.14958228755900865, 0.038242285185175195, -0.009722178772959559, -0.0743458634347784, -0.0020257968156466724, -0.13292549759892147, -0.053683893929081294, -0.07698796572047667, 0.024842432195449175, 0.033839323167365695, -0.07255000842372347, -0.05807748971514812, -0.011799104999785558, 0.013685921378146237, 0.10124295198943845, -0.019361345317058725, 0.017561032796558174, 0.0617672959219209, -0.012744908818506902, -0.04667740877839467, 0.0014785502210787442, 0.024250542027801036, -0.12777628129476779, 0.012808702153827067, 0.05082506212965842, -0.019260755456773457, -0.10787589785156894, -0.006099621627448655, -0.05696738442725544, -0.013638549537515324, 0.030736883692813174, 0.010352231017774292, 0.0021759685149404656, -0.025351611126285076, 0.013451554396070656, -0.04357021456593073, 0.0827752639108047, 0.05510614743723025, 0.044758179836681844, -0.018741921537463846, 0.10566013298626162, 0.0004186640943089782, 0.04847510578426047, 0.09876400749215428, -0.053616728376987645, -0.013445370885570976, 0.0030903441277934304, -0.07258513864622701, 0.08806597776691001, 0.03912537050305583, -0.017108545342775446, -0.009237347022044606, 0.053837351638845836, 0.0371576781762166, 0.025763560011583322, -0.12249703754003204, -0.03470341328795787, -0.07227933477985263, 0.03596247027080196, 0.03490473192135771, -0.026843130421755387, 0.05049360035181518, -0.05239646465999581, 0.04063219287193569, -0.009722842941646173, -0.06380009313994249, 0.0440651502928848, 0.11030275959854036, 0.0663658327759998, 0.05068889509394186, 0.04408767368291657, -0.0080800293060405, 0.030435268132414844, 0.008062935742566935, 0.017234264259890247, -0.040626550720314014, -0.038915988323218735, -0.0054278128325808556, 0.02165770984052845, 0.03293926268453946, 0.052817813254935043, 0.011754938244839901, 0.02841344619193377, 0.006505344349748365, -0.0830760349596265, 0.023657399224605462, 0.03887249510508839, 0.025034886761361518, -0.04923994226886334, -0.008914657187956443, -0.0316051056082156, 0.016028037039242403, 0.08357928997733245, 0.04498692953836276, 0.015382666266950687, 0.004026584619112936, -0.1080535464065071, -0.053674798900519134, 0.029817713905998022, -0.0073370903134210765, -0.0019326419069441714, 0.02384810084446307, 0.02360671393875627, -0.08020522654686026, -0.04791452227786323, -0.02881078688107171, -0.05906304388399784, -0.04462791484112214, -0.0016332108706580382, 0.06592182312785057, 0.10191334145318151, 0.03147963375218203, 0.02860133705604212, -0.07557792787155918, 0.15484260375500106, 0.029614168857719038, -0.08385618374439882, 0.014001824185341082, 0.08672062937128275, -0.07471970165792105, 0.056461592009819726, 0.024257711498010464, 0.041284451215018184, 0.02502246814563542, 0.020072868933972934, -0.031841618829987615]"
beijing,4,116.954936,40.531516,"[0.022915380028162447, -0.01635812289472672, 0.01611138868595008, -0.07297326715853261, 0.004050738297748812, 0.01533159278699248, -0.019522187290449515, -0.04057542989653171, -0.061293170085383056, 0.060419194457545164, -0.008438229467292746, 0.020958447563099968, -0.0691339881085898, -0.03793921923331748, 0.06598619608055094, 0.05235093084974882, -0.060263372911542865, 0.012974327572587208, 0.02172678292416576, 0.046321957955904214, 0.02364661392123087, 0.007258772509525804, -0.0023990598074131427, 0.040388698425324755, -0.029465432820344875, 0.005621690970716381, -0.008777196544841775, -0.04157121605860823, -0.06414843949201161, 0.061730463055544124, 0.02246291034280804, 0.022566014100257534, -0.07958444410851895, -0.0065308574422662, -0.06998766456193697, 0.023244952893523213, -0.024673859411040756, 0.06326067092195184, 0.06316956731391571, 0.020129580258508972, -0.028133472898372907, 0.08544368405542564, 0.00837131633767208, -0.024749617248299133, -0.034993206089181134, 0.03679573656306926, 0.025101328647897707, -0.007263599787335899, -0.048709535555047895, -0.009014736117210615, 0.035359252115360416, 0.0680136864803489, -0.09783413415081885, 0.033576305603191914, 0.024066412411021924, -0.0046812972602999015, -0.0432542529108212, -0.04791193509871827, 0.03945930159651313, -0.043974204906852186, 0.059647977255322185, 0.0074702376093459325, -0.002475087615866716, 0.030334938100502154, 0.05049138943071082, 0.012028791860016706, -0.009140809548824694, -0.08553234782399549, -0.05933896986822196, 0.03765848755900131, -0.026644121867361467, 0.05584319859895428, 0.054530235990554496, 0.006367664391801937, -0.009308122779755977, 0.025249776974156125, -0.03520289956477338, 0.02359594999208426, -0.08146882125774738, 0.01979277542715132, 0.057461844059504524, -0.009331451785970639, 0.05349242005822189, 0.04885721172323694, -0.04308565079409327, 0.008781171952120376, 0.009024223063107876, -0.06362268048100383, -0.04909895090599352, -0.021435636857546788, 0.028422563463997137, 0.047134372347472434, -0.06624291289604396, 0.030047745201509688, -0.017498547152135918, 0.015426837322691546, 0.00175921934460211, 0.03163312954254395, 0.011408515717123074, -0.06449318051021444, -0.009073115699456557, -0.03828279522373311, 0.017147529843342176, 0.04065087231688118, -0.06378977984690093, -0.021490262340286663, -0.01259977988944076, -0.02428609621314994, 0.03128518224508935, 0.007037304942054847, 0.01530297104722654, -0.03264376254159726, 0.07575409636659879, 0.03339960199327101, 0.004750293469224592, -0.011161048548201583, -0.003771569854596181, 0.06387708570531184, -0.03390558231499918, 0.03497974479340884, -0.07707296542302222, -0.028760076638422484, 0.03038160564125686, 0.04860333362904798, 0.022771054582426432, -0.019852275890451472, -0.03260766056520105, -0.04782861964867202]"
shanghai,0,121.46495,31.215337,"[1.0782275434146973, -3.382203622409789, 1.1892122506445502, -1.0374441695327226, -2.5650468794023102, -3.993580865764704, -2.8871434580343576, -0.75001087232831, -2.0758682779871394, -3.6165954198303663, -1.8672574571342884, -0.740970673799623, -1.571027165093389, -2.0048292943335424, -1.0295292938427452, -1.5950551807038307, 2.519015633019198, -0.9878036675956139, 0.8131814420778918, -0.7576824792918616, 3.1369849480836893, -3.4883006085453596, 1.1087640598747195, 3.9625040864948335, -2.5261833388762582, -4.29355177637385, 0.5564431131212625, -0.19601069566954413, -2.7591193087663015, 0.5524676808478384, -0.2833189112444553, -1.257767809502345, 0.7374796613193784, 3.862384092790034, -1.5673456076598187, 3.3199070279795424, -0.26233859203465376, 2.2692507556770782, -0.35668984273618354, 0.001766748740852371, -1.3085269054884794, 1.9874799720930207, 2.729904357757211, -1.2133109719555624, -1.782789981655655, -0.29254044739953805, 1.9631468517223216, -0.6024580317652782, 3.421546507599934, -2.2644444127269603, 3.502935735286859, 0.1560289790538911, -3.331183773338748, 2.80953632846087, -4.816216225190827, -0.6413689005903427, -0.3120606670346075, -2.915234881775061, -0.5654848410864568, 0.7986484922805154, -0.699741845162266, 1.428172713554216, -1.8921910658020284, -3.913814923477519, -1.4838905714957993, -2.769737969749644, 1.1952514356411563, -2.6721750029484106, -1.1243567829682009, 3.3357426013371776, -0.43859767582926634, 1.094388454332968, -1.0565893305290284, -2.609178028689866, 4.2546641889786105, -2.8365911512445208, -0.8096309196069691, -1.1943344022703097, -2.4570816712497403, 4.645321831598633, -3.028900011721679, -1.1018148826372598, 4.415371100981882, -0.9422318070824963, -2.2891838445853994, 1.423645144852374, -2.22704527500155, 1.388780756817646, 0.4552989656041375, -1.3522720262567944, 1.1570259498780462, 0.8709849269744342, -1.6574553753834813, 0.0517812057091152, 1.5081019343752087, -0.7150087622305606, -2.6394297747211604, 0.8023906077871059, 1.0683897130707132, -2.1350787970779015, 1.719841426063938, -1.126508390101793, -1.0475470458318423, 0.4584335506325047, 2.748827176199549, -3.1159088228675644, -1.6050503246823726, 0.7352812290541553, -0.9969616586944994, -3.1275760938117934, 1.5614604552702034, 1.2515164478998086, 2.6052791588069235, 3.6237402068764593, -1.3886568278036107, 0.9425028540445743, 2.056588275731706, 1.2378774419837912, 0.8198355263878662, 2.075025892435348, -2.3497924067795575, -2.761577424906613, 0.7025195272869139, 3.443554468127385, -0.9378223472078051, -2.5713637507311655, 1.6457366988363982, -2.0641538874384464]"
shanghai,1,121.786845,31.641276,"[0.026778018102049828, 0.02438453771173954, 0.0016420428873971105, -0.0324835479259491, 0.008122604340314865, 0.03612646088004112, 0.0010900627821683884, -0.03149738907814026, -0.048566464334726334, -0.016989873722195625, -0.017853328958153725, 0.0500124916434288, -0.017631895840168, -0.027983689680695534, 0.04235094413161278, 0.0370095930993557, -0.004876361694186926, -0.017841707915067673, 0.012488690204918385, -0.023525886237621307, 0.001489234040491283, -0.004261803813278675, 0.004436197225004435, 0.0015098563162609935, 0.028004122897982597, 0.0254512932151556, -0.011632975190877914, -0.06384819746017456, 0.004529199097305536, 0.021078217774629593, -0.035905733704566956, 0.025887977331876755, -0.05522134155035019, -0.03503916412591934, -0.05273681506514549, 0.03111446276307106, 0.014570311643183231, 0.02336469106376171, 0.03559648245573044, 0.03439444303512573, -0.03447181358933449, 0.024299049749970436, -0.002740703523159027, 0.01082942821085453, -0.03143194317817688, 0.03742647171020508, -0.014730120077729225, -0.0037305913865566254, -0.033577438443899155, -0.01200623158365488, -0.018342241644859314, -0.005732712335884571, -0.041985780000686646, 0.020164841786026955, 0.02839682251214981, -0.006989783141762018, -0.027443749830126762, -0.026437290012836456, 0.03747719153761864, -0.04799700900912285, 0.0308986846357584, -0.004268591292202473, -0.009505868889391422, 0.02347717061638832, 0.05291386693716049, 0.020496206358075142, -0.04405802860856056, -0.043824125081300735, -0.0632631778717041, 0.035768989473581314, 0.007631360553205013, 0.06725627928972244, 0.044616520404815674, -0.014880282804369926, 0.03596331551671028, 0.03553805872797966, 0.030186666175723076, 0.014431995339691639, -0.06902042776346207, 0.005072680301964283, 0.07683546841144562, 1.3350328117667232e-05, 0.007217231672257185, 0.006594938226044178, -0.04465175420045853, -0.01603388413786888, 0.008422819897532463, -0.03480691835284233, -0.05155034735798836, 0.0005290089757181704, -0.02336152084171772, 0.005246988032013178, -0.040214862674474716, 0.05255315452814102, 0.0263860821723938, 0.04019631817936897, 0.028657177463173866, -0.009784617461264133, -0.0182181466370821, -0.06216689199209213, -0.0007789115188643336, -0.019360508769750595, -0.02600434236228466, 0.04434017464518547, -0.03480635583400726, 0.01870633475482464, -0.022187024354934692, -0.007972096092998981, 0.02413834072649479, 0.001163983135484159, -0.01561871636658907, -0.020225927233695984, 0.045455656945705414, -0.02683078683912754, 0.045355647802352905, -0.02057824283838272, 0.009709828533232212, 0.07809513062238693, -0.02794542908668518, 0.009441572241485119, -0.04115188866853714, 0.004595191217958927, 0.05500252917408943, -0.006571788806468248, 0.06113417074084282, 0.025412552058696747, -0.03206654265522957, -0.02981659397482872]"
shanghai,2,121.920514,31.039559,"[-0.30863740429244746, -0.3569800898885164, -0.12742149499766436, -0.2092366535715525, 0.1571557014570559, -0.09556781884351806, -0.1417931169683436, -0.11379132479068307, -0.31425212539789427, -0.18524831945811518, -0.10777215318753085, 0.3417089652369204, 0.12591875085581264, 0.2011596644900236, 0.11564465780736127, -0.09699471668972487, 0.027538037308202014, -0.05707843296012504, -0.39945529624601184, -0.23282637074723186, 0.165883875939736, 0.001074750107682456, 0.166065313619813, 0.1301319115916286, 0.3565782400796212, -0.12317668061208054, -0.12244061091953556, -0.3433150558451093, 0.010416585612495172, -0.05180387601957717, -0.05977016097856731, 0.1971542489754974, -0.04045999223845313, 0.14374881051101757, 0.12304396949628713, -0.021059191491858698, -0.2027034458503306, -0.010614949593691733, 0.025454683993018375, -0.40160430178694717, 0.07721733866085592, -0.11191570925296832, -0.03429098303132773, 0.17538306736718604, -0.43988577186872285, -0.34805064116406875, 0.06002171761490269, -0.1502433639984042, -0.15074178684214387, 0.008800993499903185, -0.25810368291902996, -0.27539179911611084, 0.17918735275228764, 0.0022358562053670615, -0.11501284073077903, -0.05888837181500051, -0.018211987596431348, 0.030538284125538474, -0.07943824932520259, 0.16158442463475522, -0.09399088008905025, 0.33572460811388, -0.11611807017824348, -0.010623827546701416, -0.08690678774988106, -0.2528490247136392, -0.04707904318186127, 0.005828822778838179, -0.06527264014959465, 0.40615394369007096, 0.2607780215985802, -0.025476254438015378, 0.08221323867560874, -0.05517275546717978, 0.26947977850527566, 0.23977355312658974, 0.272222818536798, -0.010615548036935468, -0.21314243733168137, 0.13219529273470515, -0.04478728248520995, -0.311233446323637, -0.1900622811413908, 0.15596514375735382, 0.07636578056828333, 0.5510067467676307, 0.18547559771569883, -0.0800715236270398, -0.17781656702851215, 0.2240287421691309, -0.21427603593976452, -0.13330263942944082, -0.15744407840765126, -0.09505523195089857, 0.0424759873764417, -0.1203607796988955, 0.1411559627813489, 0.20571705312931216, -0.0816854318275992, -0.1164743600490302, -0.0990779854965859, -0.062259196371459505, -0.09628716244273051, -0.3136920382288376, -0.0013684755048732414, 0.08761461060078266, 0.07852190044584688, -0.13892758859937385, -0.08509563156853837, 0.3241044478166103, -0.06889613727017842, 0.12078935806967278, 0.010093884530779008, 0.17202587890729576, -0.20272275208367863, -0.056996367711325796, -0.009645352607030519, 0.3601395660309335, -0.12645591360776265, 0.26136110358581666, -0.041718177366344394, 0.10761052874078209, 0.15188657355686613, -0.1525126729269512, 0.2394634033549966, 0.00042018713586026296, -0.14242359542938676, -0.006545322702219868]"
shanghai,3,121.972578,30.822854,"[0.05465155710142385, 0.01765266746475674, 0.07790236664063406, -0.004543086075497138, -0.04667086375936369, -0.06486909725192681, 0.018494891763573006, -0.08545067577740861, -0.06048001197147132, -0.0677292152479545, 0.03596960006893665, -0.03479906157980914, -0.05859060413791945, -0.06075920331485885, 0.02879020290247291, -0.021386254583019515, 0.056880494941855125, -0.006585874785212645, 0.04414499640135218, 0.04702815801513037, -0.02693094037556603, -0.0460104140949785, -0.021616300941694012, 0.01852418649990097, -0.07494840979707647, 0.047913364062836264, -0.009298990923304721, -0.006205400379862849, -0.05946410793183947, 0.03850802410162757, -0.066800938607289, -0.05689338239422653, 0.004166320682140387, -0.0438874615255049, -0.028651039699769485, 0.03669029233980994, 0.06983167214663641, -0.03278708334656671, 0.07012311582113392, 0.0915009692827635, -0.040906413630890974, 6.135038405176083e-05, 0.05087264918181039, 0.004069793095243814, -0.007355033993983906, 0.05685882225650531, -0.04178363440689786, -0.019958358743812275, 0.044709464560848095, -0.07153217694616323, 0.08580286853259435, -0.023716506561800636, -0.047499140299255886, -0.01991245367678876, 0.004380828840641254, 0.06140002699518389, 0.0019898270225462387, -0.08788620741884526, 0.017151949757489064, -0.04651868042668902, 0.037459828680739354, 0.0023045640904620756, -0.07563376951520455, 0.027035972065316268, -0.01767848894837079, 0.04512866518689891, 0.004617483050270654, -0.07069021970797981, 0.004719224311602752, 0.010953203989149961, 0.0021631000371271705, 0.05086945390439183, 0.06151708954366997, 0.03526806117165673, 0.013608203316346136, -0.009639496113572128, -0.02871792118157948, -0.0413358681634912, -0.04035510565613326, -0.009378379489303333, -0.009708032032542849, -0.0069695999439956585, 0.06301100891828215, -0.03699996565396603, 0.02233938740604212, -0.06831556354364982, -0.07161398017055277, 0.02035475975181105, 0.051958433344517885, -0.024401611129988607, -0.04773889023675784, 0.013867677949692752, -0.03661019605453993, 0.03968320729901755, 0.04554464547606555, 0.039169013489828125, 0.03330070797563418, 0.013877298370713508, -0.024294245365735358, -0.05950796509808035, 0.011774992139780293, -0.061650798459820466, -0.014394048758306603, 0.07257119191172637, -0.007628872649246887, -0.04393206412184812, -0.007362654503473173, 0.014928104378180294, -0.03288862835222679, 0.01251389866960656, 0.0016463743975247205, 0.01608788921314442, 0.0652599106259505, 0.042554942998041884, 0.03541532085064368, 0.0011052194423044857, 0.06865952783243871, 0.036786261914576186, -0.05588288575561127, -0.033819552459732394, 0.02177557013382686, -0.041259930435669306, 0.012822833159475668, 0.01497549565209439, 0.05990569567656466, 0.03403743122226851, -0.01066111030640626, 0.0020573587867165136]"
shanghai,4,121.664947,31.641976,"[-0.37710344441933463, -0.23250164255876832, -0.10930743888416286, -0.14080330603477503, -0.017041188252231963, -0.2562784040049795, 0.2054864503926125, 0.008480146911064058, -0.18368899976960962, 0.010277711692930042, -0.03981240788811008, -0.03767722697425736, 0.004269291860441608, 0.2072256859576136, 0.07157037246831344, 0.041394074556912575, -0.18342730200260268, 0.1148415043611348, -0.391964829367533, -0.09064080264916194, 0.06305183833685443, -0.10319477083698325, -0.02666258399937686, 0.1562518418662218, 0.12336649026398855, -0.08707913597258643, 0.2078545530242524, -0.20136671516674579, -0.2845073877892014, 0.3133941528005324, 0.19321352027322605, 0.24131818949642775, -0.42614244637815646, 0.1580518703367128, -0.2806572703604532, 0.06461145488402217, -0.19099560785969985, 0.41463460800948393, -0.08354481603656257, -0.14284733251166543, -0.09255499706752637, 0.11859508722014243, 0.12692893015866616, -0.03058179036652798, -0.26901472970748547, -0.050726836731294855, 0.09794914463630884, 0.04120868873669325, 0.05587852528733235, -0.1371816346077591, -0.06686452363618312, -0.0783384460994349, -0.2219533118077542, 0.2252196650525517, 0.012499086957649726, -0.11584183301969175, -0.12479248862792162, 0.11543183543932597, -0.007868616444985661, -0.024148809438169726, -0.06935733776491648, 0.1874319132224405, 0.14792913283871406, -0.2006927108934225, 0.2364773251246544, -0.015495606218529245, -0.10897853147185894, -0.28733327452496366, -0.07832300565290623, 0.07902741108476172, -0.13578654491822606, 0.10578703841662478, -0.19387099873202374, -0.12625213693412468, 0.04828449042208854, 0.11886063302273722, 0.1800552106955043, 0.13142311085029493, -0.13467894947046882, 0.17190460534653765, -0.06605118868272655, -0.29047681506201395, 0.1449190999052107, 0.07369130896888068, -0.31194153849959344, 0.17697015165358812, -0.0649569567752874, 0.1320916440416103, -0.22599657103462653, -0.04755427934643284, 0.02958956064908619, -0.4428880387916252, -0.35740424814064536, -0.21827245488686198, 0.050889916533291196, -0.12047237161437035, -0.09553810018102146, -0.11462196654258916, 0.29743360110845674, 0.07698346249022797, 0.1876846385127203, -0.19529548166833907, -0.36098051348502797, -0.014092058228937894, 0.10314241968906623, 0.07575159738985784, 0.11369332865774562, 0.0006513467277212172, 0.17375665181049016, 0.030836388956678507, -0.08626635438237856, 0.0651860802520582, 0.11604010371621995, 0.19002332325694812, -0.03406675238880197, -0.02357226878167489, -0.11560408513087087, 0.31383934943651026, 0.05927469164924826, 0.4564290752676801, -0.2346351339902505, 0.002617142589130186, 0.37904451095132197, 0.11955973513796084, -0.0024967457576149654, -0.13437152689031964, 0.05539394420434289, -0.09544462592392565]"
